Date,Joke,Comedian,jokeID
3/29/16,"You know who else had a great week? Bernie Sanders. Saturday, he won three caucuses:Washington, Alaska, and Hawaii, where voters said, 'Aloha' to Bernie Sanders. And to Hillary Clinton, they said, 'Aloha.'",Stephen Colbert,42458-10
3/29/16,"That's an exciting three-state sweep for Senator Sanders. What was that magic that put him over the top? I'd say it was this moment on Friday. Yes, a bird landed on Bernie Sanders' podium. What are the odds that a bird would be attracted to an old man who looks like he has bread in his pockets?",Stephen Colbert,42458-11
3/29/16,"Did you know that Trump also became a grandfather for the eighth time, ladies and gentlemen? Ivanka Trump gave birth to Donald Trump's new grandson yesterday. What's interesting is that the baby actually shares a name with Trump's worst enemy. No, she hasn't called the baby Mexicans. The baby is called Ted, like Ted Cruz. And when Donald Trump actually met the baby, he was like, 'Wow, look at the size of those hands.'",James Corden,42458-12
3/29/16,"Meanwhile, on the Democratic side, Bernie Sanders has been on a hot streak. He won three states on Saturday, but the biggest thing that happened to him was at a rally in Portland, Oregon, where he got a surprise visit from an unexpected guest. That bird landing on his podium was actually the closest Bernie Sanders has come to ever sending a tweet. I'm not mocking Bernie, but when a bird lands on your podium, and that's the biggest reaction you get, maybe you're not the most interesting presidential candidate.",James Corden,42458-13
3/30/16,"It's now the second week of spring, but New York City was under a high wind advisory all day, with wind gusts up to 50 miles per hour. Most New Yorkers went about their daily routines, while Donald Trump went into his panic room. ",Jimmy Fallon,42459-1
3/30/16,"The weather here in New York was sunny, but chilly. Or as meteorologists call it, 'The Hillary Clinton.'",Jimmy Fallon,42459-2
3/30/16,"Fidel Castro wrote a letter addressing President Obama's historic trip to Cuba and said that Cuba doesn't want any presents from the US. Which, as any husband will tell you, means they definitely want presents.",Jimmy Fallon,42459-3
3/30/16,"Donald Trump, in an interview, supported the idea of holding back attacks on the wives and children of rival candidates, before adding, 'All you have to do that is tell that to Cruz because he started it.' Trump then added, 'I'm not touching him, I'm not touching him, I'm not touching him.'",Seth Meyers,42459-4
3/30/16,"A former consultant to the Donald Trump campaign recently claimed that Trump did not initially plan to actually win the Republican nomination. Even more shocking, Jeb Bush did.",Seth Meyers,42459-5
3/30/16,"Following President Obama's historic visit, the Rolling Stones this weekend played a free concert in Cuba, finally giving Cubans the chance to see something older than their cars.",Seth Meyers,42459-6
3/30/16,"Conservative pundit Glenn Beck said Friday that Ted Cruz was anointed by God to become president. To which God replied, 'No, no, no - I said he was annoying.'",Seth Meyers,42459-7
3/31/16,"Donald Trump ""has proven himself notoriously unpredictable, except to his butler it turns out, who recently in the 'New York Times,' revealed his secret wardrobe-based system for reading Trump's moods. Turns out, in the morning, 'Mr. Trump would emerge in khakis, a white golf shirt, and baseball cap. If the cap was white, the staff noticed, the boss was in a good mood. If it was red, it was best to stay away.' It's like the old saying, 'Cap of white, friend in sight. Cap of red, we're all dead.'"" ",Stephen Colbert,42460-1
3/31/16,"Trump was at yet another town hall last night along with John Kasich and Ted Cruz, and at one point, Ted Cruz was asked about his weaknesses. And admitted that he's hard-charging and has stepped on some toes. Then he was like, 'But enough about my high school prom.'",Jimmy Fallon,42460-2
3/31/16,"Ted Cruz was also asked about his favorite snack, and he said, quote, 'Between cookies and cheese, you could have a great party.' In related news, Ted Cruz has never been to an actual party.",Jimmy Fallon,42460-3
3/31/16,"I saw that a woman has written an article called 'My Awful Date with Donald Trump,' claiming she went out with Trump in the '70s and he was a boring date and that she had to pay for dinner. Trump's not the only candidate to have an embarrassing story like this come out. Here are a couple others. This person went on a date with Bernie Sanders. She said, 'He asked if I wanted to do something fun, then took me down to Wall Street to yell at buildings. We did that for three, maybe four hours.'",Jimmy Fallon,42460-4
3/31/16,"This woman went out with Ted Cruz. She said, 'It wasn't really a date. I just noticed he was staring at me across a coffee shop. Then after about an hour he walked over to my table and said, 'That counts' and left.'",Jimmy Fallon,42460-5
3/31/16,"Donald Trump suggested this morning that his campaign manager, Cory Lewandowski - who has been accused of harshly grabbing a reporter at a rally - could have just been keeping her from falling down. Sure, and Bill Cosby was just helping those ladies get a good night's sleep.",Seth Meyers,42460-6
3/31/16,"According to a new poll, Ted Cruz is beating Donald Trump in Wisconsin by 10 points. Mostly because they think he's sculpted out of butter.",Seth Meyers,42460-7
3/31/16,"An opening speaker at a campaign event for Hillary Clinton yesterday asked the attendees in the audience to welcome Clinton by chanting her campaign slogan with enthusiasm. And the crowd immediately started chanting, 'It's my turn, it's my turn!'",Seth Meyers,42460-8
3/31/16,"Anderson Cooper told Donald Trump that he acts like a five-year-old. Trump then laughed really hard and said, 'Well, Cooper rhymes with pooper.'",Conan O'Brien,42460-9
3/31/16,"Marco Rubio is in the news. He reportedly wants to play a role in the upcoming Republican convention. Yeah, it all depends on whether they need a sign spinner.",Conan O'Brien,42460-10
4/1/16,Donald Trump is still very much running for president. He met with the Republican National Committee today. I wish I could have been a part of that meeting. It was like Dr. Frankenstein meeting with his monster. ,Jimmy Kimmel,42461-1
4/1/16,"President Obama yesterday commuted the sentences of 61 federal prisoners, most of whom were low-level drug offenders. Then he had lunch with a bunch of them. Obama ate lunch with seven former inmates. Usually, former inmates have to be on the team that won the Super Bowl to get invited to the White House for lunch.",Jimmy Kimmel,42461-2
4/1/16,"But the President, he's clearly in that kind of senioritis phase of his time in the White House. He's like, 'Screw it, I'm going to lunch with prisoners today. Maybe they'll score me some weed, who knows.'",Jimmy Kimmel,42461-3
4/1/16,"Tomorrow it's April Fool's Day, which means everyone will be waiting for Donald Trump to finally say, 'Gotcha!'",Jimmy Fallon,42461-4
4/1/16,"I read that if Donald Trump and Hillary Clinton are the two nominees, it will be the first time both parties' nominees are over 65 years old, which should explain that one debate where they just play checkers in the park.",Jimmy Fallon,42461-5
4/1/16,"Trump and Hillary would be the oldest nominees since 1848, or as Bernie Sanders put it, 'My first campaign!'",Jimmy Fallon,42461-6
4/1/16,"After saying in an interview that there should be punishment for women who undergo illegal abortions, Donald Trump last night started to walk back his comments by claiming he meant to say doctors should be punished. And I got to say, it's pretty ironic that Trump had to use 'Plan B.'",Seth Meyers,42461-7
4/1/16,"Donald Trump was in Washington DC today to meet privately with members of his newly established foreign policy team. They went over key points like, 'This one is Europe and, no, no, no, this one is Europe.'",Seth Meyers,42461-8
4/1/16,Bernie Sanders held a campaign rally in the South Bronx. Sanders said it was great to be in the neighborhood where he wasn't the loudest person.,Seth Meyers,42461-9
4/1/16,"Hillary Clinton's security held up traffic for a few hours in Manhattan yesterday while Clinton got a $600 haircut. While Bernie Sanders, apparently, got his last haircut in Manhattan traffic.",Seth Meyers,42461-10
4/4/16,"We have New Jersey Governor Chris Christie on the show tonight. Which means right now, Donald Trump is unlocking his basement going, 'Oh, no, he escaped.' ",Jimmy Fallon,42464-1
4/4/16,"In an interview yesterday, John Kasich said voters are still learning who he is. And said, quote, 'You go in the store, and there's Coke, there's Pepsi, and then there's Kasich.' Which explains his new slogan, 'John Kasich, the RC Cola of Canada.'",Jimmy Fallon,42464-2
4/4/16,"I saw that Jeb Bush is going back to giving speeches after his failed run for the Republican nomination. He's actually a very talented motivational speaker because after you listen to his life story, you feel great about yourself.",Jimmy Fallon,42464-3
4/5/16,"Tomorrow, of course, is the Wisconsin presidential primary, which could actually be pivotal for the Republican race for president. While Milwaukee has already played a major role by making all the beer that's helped us through it. ",Jimmy Fallon,42465-1
4/5/16,"Over the weekend, Donald Trump told 'The Washington Post' that he'll be able to get the United States completely out of debt in eight years. When asked how, Trump was like, 'Easy, declare bankruptcy and start fresh.'",Jimmy Fallon,42465-2
4/5/16,"Hillary Clinton said on 'Meet the Press' yesterday that the FBI has not reached out to schedule an interview with her regarding her private email server. When asked how she'd respond to such a request, Hillary said, 'Oh, I'd delete it.'",Jimmy Fallon,42465-3
4/5/16,"A video is making its rounds on the Internet of Hillary Clinton losing her temper when confronted by an environmental activist about taking money from the fossil fuel industry. Hillary said, 'The only fossil I'm worried about is the one from Vermont that I'm running against.'",Jimmy Fallon,42465-4
4/5/16,"Last week, we mentioned that Jeb Bush is returning to the speaking circuit after his failed run for the Republican nomination. People say he's over the election, but going by the titles of some of his speeches, you can tell it's still on his mind. Check this out. First there's, 'The campaign bus bathroom:Where no one can hear you cry.'",Jimmy Fallon,42465-5
4/5/16,"Some international news, North Korea officially announced it is blocking Facebook. So it looks like someone forgot to write 'Happy Birthday' on Kim Jong-un's wall.",Jimmy Fallon,42465-6
4/5/16,"Bernie Sanders said today that none of the ideas he's proposed in his campaign are radical or unrealistic. Other than, of course, the idea of a 74-year-old Jewish President with a two-dollar hair cut.",Seth Meyers,42465-7
4/5/16,"Hugh Hefner's ex-girlfriend, Kendra Wilkinson, has endorsed Donald Trump for president, though you'd think she'd support John Kasich's campaign considering she's used to pretending something's still alive when it's really dead.",Seth Meyers,42465-8
4/5/16,"Donald Trump is having an extra-hard time with women voters, especially after last week when he said that if abortion becomes illegal, then women that get them should face some sort of punishment. That will not play well with Trump's female supporters, both of them.",Stephen Colbert,42465-9
4/6/16,"After weeks of back and forth, Bernie Sanders and Hillary Clinton have finally agreed to hold [a] debate in Brooklyn next Thursday. You know you're in New York when you have to argue over the date of when you're going to argue. ",Jimmy Fallon,42466-1
4/6/16,"That's right, Bernie Sanders and Hillary Clinton have agreed to meet for another debate next Thursday at the Brooklyn Navy Yard. Bernie said he chose the location because of its history, while Hillary liked it because it's remote, poorly lit, and close to the East River.",Jimmy Fallon,42466-2
4/6/16,"Huma Abedin, who is married to Anthony Weiner, said the first time she met Hillary Clinton she thought she was beautiful but little. Which incidentally is also what she thought the first time Weiner texted her a photo.",Jimmy Fallon,42466-3
4/6/16,"Hey, over on the Republican side, Ben Carson said yesterday that Donald Trump knows about foreign policy just as much as the other candidates, but is not an expert on Russia. Trump was like, 'That is nonsense. I ordered half my wives from Russia. So I think I know what I'm talking about.'",Jimmy Fallon,42466-4
4/6/16,"Actually, during a rally last night, Melania Trump pushed back against claims that her husband is sexist and said Donald treats everyone equally. She was like, 'He treats everyone the same whether they're supermodels, swimsuit model, or lingerie model.'",Jimmy Fallon,42466-5
4/6/16,"At a campaign event in Wisconsin yesterday, a 16-year-old boy threw an egg at Donald Trump, but missed. And I can't quite explain it, but somehow it hit Jeb.",Seth Meyers,42466-6
4/6/16,"Donald Trump said yesterday that acting more presidential would make his campaign 'boring as hell.' Though if he gets elected, I suppose boring is the best version of hell we can hope for.",Seth Meyers,42466-7
4/6/16,"While campaigning in Wisconsin today, Donald Trump was presented with a Green Bay Packers cheese head. Trump said, 'Thanks, this would go great with my cheese face.'",Seth Meyers,42466-8
4/6/16,"Los Angeles police confirmed yesterday that they had to intervene and disperse a crowd that was helping two rappers film an anti-Donald Trump music video. 'We're allowed to be here,' yelled 'DJ Kasich' and 'Cruz Control.'",Seth Meyers,42466-9
4/6/16,"This election, it's people attacking each others' wives, people bragging about their private parts. Remember when John Kerry's campaign ended because people saw a picture of him wind surfing? It was a simpler time.",Jimmy Kimmel,42466-10
4/6/16,"If it does come down to Donald Trump and Hillary Clinton, if the vote was today, Donald Trump would be in trouble. According to a new Bloomberg poll, Clinton leads Trump in a hypothetical match-up 54%-36%. And this is interesting, 68% of likely general election voters, according to this poll, view Donald Trump negatively. And the other 32% don't have Twitter or television.",Jimmy Kimmel,42466-11
4/7/16,"The big news last night was on the Republican side. Ted Cruz won [in Wisconsin]. It was a huge upset, because even if you voted for Ted Cruz, you're still pretty upset about it. ",Stephen Colbert,42467-1
4/7/16,"Trump promised to kill the wasteful Department of Environmental, the DEP. Even the abbreviation is wasteful because that 'P' doesn't stand for anything. Now, we looked it up, and the Department of Environmental does not exist, meaning Trump is either talking out of his [behind], or he's already eliminated it. That's very impressive.",Stephen Colbert,42467-2
4/7/16,"In the Wisconsin primary, ""Bernie Sanders won on the Democratic side. Sanders' Wisconsin supporters celebrated by drinking Old Milwaukee.""",Jimmy Fallon,42467-3
4/7/16,"I also read that Bernie Sanders has raised more money than Hillary Clinton for the third month in a row. Bernie Sanders has so much money now, he can't vote for Bernie Sanders.",Jimmy Fallon,42467-4
4/7/16,"After a rough week on the campaign trail, Donald Trump suffered a big loss yesterday in Wisconsin to Ted Cruz. Or, as Trump put it, 'I hit a wall.'",Jimmy Fallon,42467-5
4/7/16,"Following his win in Wisconsin, Ted Cruz today campaigned in the Bronx. Said Cruz supporters, 'None of us live there.'",Seth Meyers,42467-6
4/7/16,"Hillary Clinton and Bernie Sanders have scheduled a debate for next Thursday in Brooklyn, which is about as close as Bernie Sanders can get to Wall Street without spontaneously combusting.",Seth Meyers,42467-7
4/7/16,"John Kasich yesterday responded to Donald Trump's calls on him to suspend his campaign and said, quote, 'I'm not dropping out, I'm dropping in.' Specifically, in the polls.",Seth Meyers,42467-8
4/7/16,"Former President Bill Clinton yesterday said one of the recent Republican debates sounded like a rap tune on MTV. A rap tune on MTV. Oh man, remember when Bill was the cool president? Playing saxophone on Arsenio Hall. Then Barack Obama came along and made him look like Vanilla Ice.",Seth Meyers,42467-9
4/7/16,"In the Wisconsin primary, Ted Cruz beat Donald Trump in Trump's key demographic:voters with only a high school degree. Yeah, this was due to Ted Cruz's new campaign slogan, 'Let's blow off algebra and get high.' It's a good campaign slogan.",Conan O'Brien,42467-10
4/7/16,"Spike Lee said that Bernie Sanders' campaign song should be 'Brooklyn's in the House.' Today, Bernie Sanders said, 'I don't know who this Spike Lee is, but I hope he can deliver the Asian vote.'",Conan O'Brien,42467-11
4/7/16,"Some people are blaming Donald Trump's loss in Wisconsin on the fact that he made fun of Ted Cruz's wife with a photo on Twitter. Trump said he regrets the decision, wishes he had used Instagram.",Conan O'Brien,42467-12
4/8/16,"On Tuesday night, Ted Cruz scored a huge win in the Wisconsin primary, which has given him plenty of reason to - I'm going to say, smile? But sure, but his Ted-mentum might be short lived because the campaign has moved to New York, where Cruz has gotten in trouble for criticizing New York values. So here's how Cruz was greeted by this morning's 'New York Daily News.' 'Take The F [U] Train Ted.' Now for you non-New Yorkers, the F [U] Train is a prominent line here in the city. We frequently tell out-of-towners to take it. Of course, it only has one stop and its Ya Mutha's House.",Stephen Colbert,42468-1
4/8/16,"So Ted Cruz is piling up delegates and gaining on Donald Trump. We might be on our way to what is called a contested convention. ? Here's where it gets super crazy. The GOP could nominate someone who did not even run this year, and - believe it or not - there are some people who did not run this year. Some names have already been floated, like Paul Ryan, Mitt Romney, and Mitt Romney. I know, I just said him, but people forget him so quickly. Now, in an act of desperation, who knows who the GOP will nominate? Could be Scrooge McDuck, a Ouija board that spells out Ronald Reagan, a bald eagle wearing a pair of pleated khakis.",Stephen Colbert,42468-2
4/8/16,"Texas Rep. Pete Sessions has introduced HR642, a bill recognizing magic as a rare and valuable art form and national treasure. That's right - Congress might actually pass something. Join me now on a journey to the mysterious realm known as the US Congress. Bear witness to this amazing magical bill, which was co-signed by not one, not two, but six other Republican congressmen who are hard at work passing official legislation to recognize that magic 'enables people to experience the impossible. Magic is an art that transforms the ordinary into the extraordinary,' and most of all, that magic 'is timeless in appeal and requires only the capacity to dream.' It's priorities like these that have made congressional approval ratings disappear.",Stephen Colbert,42468-3
4/8/16,"Hillary Clinton was campaigning in New York today, actually visited Yankee Stadium. Bernie Sanders spent the entire day looking for the Brooklyn Dodgers.",Jimmy Fallon,42468-4
4/8/16,"Over on the Republican side, I saw that Ted Cruz visited a matzah factory in Brooklyn. Of course, matzah is the unleavened bread that Jewish people eat for Passover. And Ted Cruz is the presidential candidate that New Yorkers will definitely pass over.",Jimmy Fallon,42468-5
4/8/16,"I read that Donald Trump seems to have skipped out on his Jewish grandson's circumcision to campaign in Wisconsin. When asked why he wasn't at the ceremony, Trump said getting rid of the top one-percent is the other guy.",Jimmy Fallon,42468-6
4/8/16,"While campaigning in New York today, Hillary Clinton rode the subway and had to swipe her MetroCard five times before getting through a turnstile. Though if you know Hillary Clinton, you know she'll keep trying until she gets in.",Seth Meyers,42468-7
4/8/16,"Clinton ""swiped her MetroCard five times, which means it only took the crowd behind her ten seconds to go from 'Oh my God it's Hillary' to 'Let's go lady!'""",Seth Meyers,42468-8
4/8/16,"Hillary rode the subway with a group of reporters and her Secret Service detail. Then after the train was gone, Ted Cruz scurried across the tracks and disappeared into a hole.",Seth Meyers,42468-9
4/8/16,"Republican Sen. Jim Risch has come forward to endorse Ted Cruz for president, saying, 'Obviously Kasich is so far behind that it's impossible, really, for him to get the numbers. So by process of elimination, that gets you to Ted Cruz. At this point, there's no choice.' Wow. If that's his endorsement, I'd hate to hear his wedding vows.",Seth Meyers,42468-10
4/8/16,"Donald Trump, of course, trying to bounce back from his big defeat in Wisconsin. Had a big loss. He's a little rattled about that. So they're trying stuff. After losing in Wisconsin, there has been a big shake-up in the Trump campaign staff, apparently. In fact, the guy in charge of racist comments is now in charge of sexist comments. So they switched.",Conan O'Brien,42468-11
4/8/16,"Now some people are saying that John Kasich's campaign might be showing a little bit of life. John Kasich had to move his campaign event to a larger venue when he got more RSVP's than expected. That's a little something good. Kasich said, 'We had to move it from a tollbooth to a Sunglass Hut.' Slightly more room.",Conan O'Brien,42468-12
4/11/16,"Yesterday, former New York City Mayor Rudy Giuliani announced that he's voting for Donald Trump in the upcoming New York primary. When asked why, Giuliani said, 'Because if he wins, he'll have to move to Washington.' ",Jimmy Fallon,42471-1
4/11/16,Donald Trump announced yesterday that he's changing up his campaign staff and adding a convention manager. Which is the most creative way I've heard someone describe the word 'bouncer.',Jimmy Fallon,42471-2
4/11/16,"Donald Trump's daughter Ivanka just gave birth last week, and I saw that she's already back on the campaign trail for her dad. Ivanka's friends were like, 'Shouldn't you be with the baby?' And Ivanka was like, 'Yeah, I'm campaigning for him.'",Jimmy Fallon,42471-3
4/11/16,"In ""a new interview, Bernie Sanders said that he went to Boy Scout camp in New York. You can tell it was a while ago because Bernie Sanders didn't learn how to make a fire at Boy Scout camp - he discovered fire.""",Jimmy Fallon,42471-4
4/11/16,"Pope Francis has invited Bernie Sanders to the Vatican next week. Not for a meeting, just because the Pope wants to pull off a 'Parent Trap' switch and see if anyone notices.",Jimmy Fallon,42471-5
4/11/16,"While we're on the subject of dangerous trends, according to the State Department, virtually every foreign leader who meets with Secretary of State John Kerry has expressed concern about the Republican presidential primary election. Which there's no need to be concerned. It's silly. Once President Trump builds a wall around your country, you'll never see us again.",Jimmy Kimmel,42471-6
4/11/16,"According to a new NBC News poll, Donald Trump now has support from 48 percent of Republican voters. All the men and none of the wives is what it is. Ted Cruz is at 27 percent and John Kasich is at third with 18 percent. He won't give up. Even though if you look at this most recent delegate chart, Trump has the lead followed by Cruz, then Marco Rubio who is not in it, and then John Kasich. When a candidate that dropped out two weeks ago has more delegates than you do, in general, it's not a great sign for your election hopes. But John Kasich is refusing to leave. He's like the guy at your house party, at 3:00 am, he's still playing Xbox on the couch.",Jimmy Kimmel,42471-7
4/12/16,"Of course, we're just three days away from the big Democratic debate right here in New York. And both Hillary Clinton and Bernie Sanders have been busy campaigning throughout the city. Bernie even had some time to see the Broadway show 'Hamilton' with his wife. It got a little awkward when Bernie stood up and said, 'I knew Alexander Hamilton. And you, sir, are no Alexander Hamilton!' ",Jimmy Fallon,42472-1
4/12/16,"Actually, the debate will be held over in Brooklyn. And to keep it authentic to Brooklyn, each candidate will debate by just shouting out a window at each other. 'Your plans are no good!' 'You don't know what you're talking about!'",Jimmy Fallon,42472-2
4/12/16,"Bernie Sanders said on Friday that his goal for financial reform is to 'make banking boring again.' I think I speak for all Americans when I say, lets just make elections boring again. Please.",Jimmy Fallon,42472-3
4/12/16,"Sen. Lindsey Graham said in an interview last week that if he can support Ted Cruz, anybody can do it. You know it's bad when your best endorsement sounds like a bad diet plan.",Jimmy Fallon,42472-4
4/12/16,"A car owned by Hillary Clinton is now up for sale. Like Hillary, the car's been hit from all sides and lately has been starting to stall.",Conan O'Brien,42472-5
4/12/16,"Hillary Clinton is airing her first attack ad against Donald Trump that mentions him by name. Before now, her ads would only refer to Trump as 'A-hole McWeird Hair.'",Conan O'Brien,42472-6
4/12/16,"Bernie Sanders won this weekend's Wyoming caucus, which was his seventh win in a row over Hillary Clinton. Clinton said she's still not worried. But it was hard to understand her through the wallet she was biting.",Seth Meyers,42472-7
4/12/16,"We are now four days away from Hillary Clinton and Bernie Sanders' Thursday night debate in Brooklyn, which means Hillary's already tried 600 different ways to ask, 'Is Brooklyn in the House?'",Seth Meyers,42472-8
4/12/16,"All the presidential candidates except Ted Cruz campaigned in New York today. He was originally planning on it, but when he crawled out from the wall, he got stuck in a glue trap.",Seth Meyers,42472-9
4/12/16,"According to reports, two of Donald Trump's children will not be able to vote at New York's primary because they failed to register before the deadline. So I guess you just lost two votes, Ted Cruz.",Seth Meyers,42472-10
4/12/16,"Bernie Sanders and his wife, on Friday, saw the hit Broadway musical 'Hamilton.' Said Sanders afterwards, 'That's not how I remember it. There wasn't this much singing.'",Seth Meyers,42472-11
4/12/16,"Bernie Sanders visited Coney Island yesterday. And somehow, after he rode the roller coaster, his hair was neater.",Seth Meyers,42472-12
4/13/16,"I saw that Bill Clinton was in the Bronx campaigning for Hillary yesterday, and he visited the Hebrew Home for the Aging. While Hillary actually went there to drop off Bernie Sanders.",Jimmy Fallon,42473-1
4/13/16,"It does seem like everyone's weighing in on the election these days. In fact, the director of the CIA says that no matter who the next president is, the agency will not use waterboarding ever again. Instead, he's come up with a new way to torture people. Turn off the Wi-Fi when they visit their parents' house. ",Jimmy Fallon,42473-2
4/13/16,"The big election news today is Speaker of the House Paul Ryan, who gave a formal speech to clarify that he is definitely not running for president, after no one believed him the last time he said it. ... You know he's going to run. Right? Meanwhile, Trump was like, 'Another one bites the dust. Even people not running are dropping out of the race.'",Jimmy Fallon,42473-3
4/13/16,"A new poll shows Donald Trump with a 33-point lead ahead of New York's Republican primary. Trump is so confident, he's even stopped doing his hair.",Seth Meyers,42473-4
4/13/16,"A new poll has found that Bernie Sanders is the most likable of all the presidential candidates. Which, let's face it, is kind of like being the best dressed person at Walmart.",Seth Meyers,42473-5
4/13/16,"The cast of ABC's 'Scandal' is set to appear at a fundraiser for Hillary Clinton later this month, unless she loses in New York, in which case she would like to speak with the folks at 'How to Get Away with Murder.'",Seth Meyers,42473-6
4/13/16,House Speaker Paul Ryan this afternoon issued a formal statement ruling himself out as a potential replacement candidate if there's a contested Republican convention. And you know things are bad in the Republican Party when people who aren't even running are dropping out of the race.,Seth Meyers,42473-7
4/13/16,"The White House Science Fair is tomorrow, and once again, Joe Biden waited until today to start his volcano.",Seth Meyers,42473-8
4/13/16,"Yes, in the news today, it's come out that President Obama has been allowed to see special advance episodes of the new season, 'Game of Thrones.' The President gets to see advance episodes. Obama says he watches 'Game of Thrones' to remind him what it's like to have reasonably sane people compete for leadership.",Conan O'Brien,42473-9
4/13/16,"According to some analysts, Donald Trump's support is deeper than it looks. Although others say Trump just took the support he has and combed it over to make it look better.",Conan O'Brien,42473-10
4/13/16,"Today, John Kasich gave a 30-minute speech in New York City. Afterwards, the crowd applauded Kasich and then put $8.34 in his hat.",Conan O'Brien,42473-11
4/13/16,"In a recent interview, Ted Cruz's wife, Heidi, said that Donald Trump's nasty tweet about her looks did not impact her. Heidi Cruz said, 'Part of my marriage vow to Ted was to give up all human feeling.' So she's in pretty good shape.",Conan O'Brien,42473-12
4/13/16,"Donald Trump is still very much focused on winning. ... While he was speaking, a fight broke out in the crowd. Somebody got video [as] these two guys went at it. It's unclear whether the fight broke out at the rally, or if the fight started first and turned into a Trump rally. But you know, when you see the footage from these rallies, I feel like there will come a day when a monster truck gets elected President of the United States.",Jimmy Kimmel,42473-13
4/14/16,"The race for president of the United States looks like it's going be rocky for the Republican Party. They could be headed for a contested convention, and some prominent Republican congressmen are saying they might not even go to the convention, which is in Cleveland next summer. Not because it might get crazy. They're saying they can't go because they have work to do this summer, which - these are congressmen - all of a sudden they've got work to do? Maybe they just don't want to spend the weekend in Cleveland. ",Jimmy Kimmel,42474-1
4/14/16,"Here's what everybody is talking about, of course. It's the big New York primary, which happens next Tuesday, which is looking pretty good for Hillary Clinton. In fact, the website?538 says Hillary has a 99 percent chance of winning the primary for New York. When he heard, Bernie Sanders said, 'My God, I've become part of the one percent!'",Jimmy Fallon,42474-2
4/14/16,"Last night, CNN hosted a town hall with Republican frontrunner Donald Trump, and at one point he complained that the rules of the election are stacked against him by the establishment. You got to give it to Trump. I mean, he's the only man who could inherit millions of dollars, have his name on buildings and still go, 'Life is totally unfair. I can't catch a break!'",Jimmy Fallon,42474-3
4/14/16,"Donald Trump's son, Eric, said last night that his father is his 'best friend in the entire world.' Said Donald, 'Right back at ya, Jeff.'",Seth Meyers,42474-4
4/14/16,"Bernie Sanders this morning joined the Verizon worker picket line here in New York. It's a perfect match, because Bernie always talks like he's getting bad reception.",Seth Meyers,42474-5
4/14/16,"Bernie Sanders today received his first senatorial endorsement, from Oregon Sen. Jeff Merkley, or - as he'll be known under President Hillary Clinton - ambassador to North Korea Jeff Merkley.",Seth Meyers,42474-6
4/14/16,"The New York MTA has announced that they plan to phase out MetroCards by 2021. 'But I just learned,' said Hillary. 'Oh, please don't make it something harder.'",Seth Meyers,42474-7
4/15/16,"Even though there's a big primary in New York Tuesday, Bernie is headed to the Vatican tomorrow to make a speech. Going all the way to the Vatican to make a 15-minute speech, and the Pope isn't even going to be there. Why he's doing this? Even people running his campaign don't know. Maybe he wants to get in good with God since they'll probably be meeting soon.",Jimmy Kimmel,42475-1
4/15/16,"But Bernie will be out of the country for a bit. But don't worry, his supporters will still be on Facebook yelling at you.",Jimmy Kimmel,42475-2
4/15/16,"Donald Trump has new enemies. Several former contestants from his show 'The Apprentice' are speaking out against him, including season one runner up Kwame Jackson. And I'll tell you something, when season one runner-up Kwame Jackson speaks, people stop and listen.",Jimmy Kimmel,42475-3
4/15/16,"The former 'Apprentice' contestants issued a joint statement saying they don't believe Trump is 'worthy of becoming President of the United States.' Trump responded very graciously. To his credit, he released a statement calling them six failing wannabes and said they should be careful or 'I'll play hours of footage of them individually praising me.' This is great. His 'Apprentice' contestants turning on him. This is like the cast of 'Survivor' deciding to eat Jeff Probst.",Jimmy Kimmel,42475-4
4/15/16,"Yesterday Trump met with one of his arch nemeses:Megyn Kelly of Fox News. She went to his office. They talked for an hour. In the end, they agreed to put aside their differences and get back to what's important, which is getting white people very angry.",Jimmy Kimmel,42475-5
4/15/16,"Tonight was the big Democratic debate between Hillary Clinton and Bernie Sanders. They discussed important issues such as national security, the economy, and whose supporters are the most annoying on Facebook.",Jimmy Fallon,42475-6
4/15/16,"Over 27,000 people attended a massive rally for Bernie Sanders in Manhattan's Washington Square Park. Well, technically, 7,000 people showed up for Bernie, while 20,000 New Yorkers just saw a line and got in it.",Jimmy Fallon,42475-7
4/15/16,"After Donald Trump said that the Republican primary process is unfair, the RNC chairman responded that Trump should have known the rules a year ago. In Trump's defense, he didn't expect anyone would fall for this a year ago.",Jimmy Fallon,42475-8
4/15/16,"Producers for 'Game of Thrones' confirmed that President Obama has requested and will receive episodes of the show's new season before it airs on HBO. You know, so he can call up the Republicans and spoil it for them.",Jimmy Fallon,42475-9
4/15/16,"Hillary Clinton and Bernie Sanders debated in Brooklyn earlier this evening, which means Hillary began swiping her MetroCard sometime this morning.",Seth Meyers,42475-10
4/15/16,"During their family town hall event on CNN last night, Ted Cruz's wife revealed that their daughters want Taylor Swift to be their first guest to visit the White House. Aw, that's so cute. They think he has a chance.",Seth Meyers,42475-11
4/15/16,"During last night's town hall, Ted Cruz talked about how his daughters often play a game with him called 'Attack the Daddy.' Said his daughters, 'It's not a game.'",Seth Meyers,42475-12
4/15/16,"Over 27,000 people attended Bernie Sanders' rally in Washington Square Park last night, which is especially crazy, since Bernie only went to the park to play chess.",Seth Meyers,42475-13
4/15/16,Bernie Sanders is visiting Rome tomorrow. He'll be flying middle class.,Seth Meyers,42475-14
